symbol,cohort,asof,days_to_2x,peak_mult,rsi,rsi_z,r20,r20_z,r5,r60,dvol,off52,vs50,vs200,dlv10,vol_asym,adv_cr,close
SHAREINDIA,CONTROL,2026-04-01,,,50.40975219332378,0.4872391030472146,0.040249433106575916,0.22116246179755522,0.03848330503678543,-0.19938917975567194,0.0406942786540863,-0.37748376466026956,-0.05181679136869077,-0.18534625321112796,1.190387570544422,1.5673241117660242,22.56227,128.45
FUSION,CONTROL,2026-04-01,,,36.06294874100005,-1.0861778336937618,-0.18255268659246282,-1.23711467882038,-0.02447576023194653,-0.17939992059440757,0.03299615012936315,-0.30973282442748085,-0.17058880856698966,-0.17296389948550317,1.0158643079975045,0.9094977999473244,6.88428,144.68
SJS,CONTROL,2026-04-01,,,44.955169092178174,-1.088675552729184,-0.04661780607953858,-0.32810955385644935,-0.04039182488813642,-0.11231681396129323,0.031770054279296404,-0.16627265563435778,-0.06394323496971244,0.02861487317476752,1.0463244981228366,0.731703835748767,18.510515,1587.0
SUNDRMFAST,CONTROL,2026-04-01,,,23.95463478795483,-2.379379325263247,-0.09929417394425166,-1.4674058732871775,-0.057697121401752205,-0.20963678353978588,0.015130682434278574,-0.2965523684948145,-0.1369695469118778,-0.20978775837494823,1.019528832063971,0.38784363412053785,16.19977,752.9
GIPCL,CONTROL,2026-04-01,,,46.802503404814615,0.2818156052791192,-0.03171516194180579,-0.21880559839929425,-0.019689511548655947,-0.18017732742241932,0.03241108021828418,-0.4136165972096395,-0.057180938230602996,-0.23710908839103395,1.068952636298974,0.8889594194473875,5.42664,129.45
APOLLOPIPE,CONTROL,2026-04-01,,,66.21054976480224,1.6075449593753708,0.21132342533616422,1.0703649886196558,0.03232810615199022,0.43350083752093793,0.04414695447943831,-0.07320771063461129,0.2368303152052953,0.21934104575805957,1.0145943147966126,0.6903877859054669,210.097455,427.9
FINPIPE,CONTROL,2026-04-01,,,37.240110918195484,-0.7246392329181622,-0.1154060066740823,-0.9183889104759427,-0.021050040007385862,-0.11422365783025168,0.028098736057397353,-0.31600223627058865,-0.10393962338985174,-0.16234894104685038,1.1273683951868234,0.8835601575675667,17.011165,159.05
ONGC,CONTROL,2026-04-01,,,68.56056645343259,1.6588133246077021,0.040079436721429884,0.5712979538838302,0.06606217616580312,0.2049276332301515,0.015687146155479188,0.0,0.06688109229660366,0.15754368466589175,0.9611232055825347,1.3502946439207748,751.871565,288.05
MPHASIS,CONTROL,2026-04-01,,,43.735016246573394,-0.32982538294279046,-0.05760409315455184,-0.6464262707908328,0.0021105951878430673,-0.2567830805621262,0.019925964320451756,-0.2879424115176965,-0.09876697351726371,-0.20881435465379805,1.1515872308454749,1.6335893923646378,135.262155,2136.6
GULFOILLUB,CONTROL,2026-04-01,,,33.799044037205704,-1.1743845785613878,-0.14289128979825994,-1.0900641344075155,-0.04906120717089213,-0.23413071337035452,0.029311544825314135,-0.3173025664458151,-0.14037545584697164,-0.23366603542814612,1.0393283528865667,0.8238039423247342,8.042335,896.45
ADANIPORTS,CONTROL,2026-04-01,,,48.51617342196039,-0.26295823429521836,-0.03416062465142222,-0.2807900193183169,0.006904571553165262,-0.05452808298641909,0.02720377279074188,-0.11769201375620941,-0.04239215333890911,-0.03358727186862809,1.030610804401714,1.0804945579137273,397.406715,1385.4
AGARWALEYE,CONTROL,2026-04-01,,,42.13305466602017,-0.6961291913593681,-0.03518859245630179,-0.5465717600004311,0.009141207601635726,-0.1826595226497808,0.014395929413690353,-0.23126259849734287,-0.047794151027338194,-0.10173181609163406,0.8410119477097444,0.5865430637934919,10.66176,419.5
SHRIRAMPPS,CONTROL,2026-04-01,,,40.64429551051674,-0.5220348587290752,-0.12239756000530422,-0.8791056871528921,-0.030045434559577866,-0.21214285714285708,0.031132691831212138,-0.3611969111969111,-0.11375962504184789,-0.23357759332015038,1.1072030872981735,1.0668324922685442,5.78674,66.18
ABDL,CONTROL,2026-04-01,,,43.91729129693324,-0.5422368249736581,-0.06343034881137533,-0.4415004445338531,0.03194614443084465,-0.20746380898665162,0.032125578475580154,-0.3835185726820707,-0.09720154967372485,-0.19806683790934276,1.0934641916792522,1.1185320182801979,25.98383,421.55
KIMS,CONTROL,2026-04-01,,,39.13792384713697,-0.965400921140368,-0.11524847798385951,-1.2411013272736946,-0.03772713273791195,-0.000719597025665708,0.020764092778902295,-0.20833597263571302,-0.05342563279155366,-0.09422902569105096,1.0601105397733703,0.9527289819860351,19.93413,624.9
QUADFUTURE,CONTROL,2026-04-01,,,48.018539432280754,0.3965641877160235,0.028212039532794275,0.15971819515367633,-0.017682403433476268,-0.1474970202622169,0.039497089306914424,-0.4476300801235641,-0.028816418807219524,-0.20448060104674315,1.1706464396261573,1.3782112982510117,12.45503,286.1
MEDPLUS,CONTROL,2026-04-01,,,48.613571206929194,-0.015649658280083363,0.015889570552147347,0.19501490373032004,-0.007551693137548665,-0.00701607100023971,0.018219202331845298,-0.12598965480840274,-0.006402371337537516,0.0026402638265690115,0.8764376526817113,1.6510652753944248,10.338915,827.95
SHARDAMOTR,CONTROL,2026-04-01,,,39.20028913993329,-0.7908684323665371,-0.13900330683993745,-0.886492881741955,-0.0667798528579514,-0.21658572635135143,0.03506185436938872,-0.39011259965480405,-0.1350874411969023,-0.24118958526186796,1.075077771837138,0.8533256213938374,5.97655,742.05
LIQUIDBEES,CONTROL,2026-04-01,,,53.70523726766409,0.9774108291012659,1.0000100000961964e-05,0.29454850669896127,1.0000100000961964e-05,0.0,7.5915860632083526e-06,0.0,4.800023040152368e-06,4.700022089965117e-06,1.1120050613388308,1.1101733083479177,425.692545,1000.0
SBIN,CONTROL,2026-04-01,,,39.03288146089415,-1.5941951231228477,-0.13341847594721157,-1.3169195822587783,-0.04035451631152176,0.01057439308941066,0.0226538344247783,-0.17103762827822122,-0.08216755627337302,0.07608820053640519,0.9008668753152616,0.8338181902859049,1893.932075,1017.8
GNFC,CONTROL,2026-04-01,,,41.08694814779365,-0.49937637414546115,-0.08788903135563586,-0.5934460319988868,-0.018685728618008546,-0.1969417077175698,0.033116043918241404,-0.31226929161539807,-0.11183299509209688,-0.20535383334264234,1.1547821352237917,0.913566568571274,14.75288,391.25
DELHIVERY,CONTROL,2026-04-01,,,55.378695843967,0.0847109268655738,0.03527717782577389,0.3411199646325433,0.002439874520738794,0.021669626998223723,0.023124465247219124,-0.11024028049912349,0.020391268251261252,-0.0014934778243714808,1.0012851172430133,1.0750331123461934,78.44253,431.4
MAXHEALTH,CONTROL,2026-04-01,,,35.09594851878148,-1.0673409769213096,-0.08996868178798523,-1.5363401027857453,-0.029649868447682692,-0.07325794916400896,0.013094502184718268,-0.26317811587521134,-0.060226274854168094,-0.1479398253050055,0.948872144839038,0.7744358154257612,311.00615,958.9
CLEANMAX,CONTROL,2026-04-01,,,47.15078670106649,,-0.03271137026239057,-0.18192675971345296,-0.007122336605218993,,0.04020565619872446,,,,1.2814151989551699,,32.05269,829.45
